neighborhood_name,latitude,longitude
Avent West,35.75268450000001,-78.71863275000001
Belvidere Park,35.807625,-78.5592855
Battery Heights,35.77709140243198,-78.61642242654105
Bloomsbury,35.823456,-78.65271899999999
Boylan Heights,35.78989136265121,-78.64869297014106
Cameron Park,35.78627000000006,-78.65574999999995
Cameron Village,35.79099000000008,-78.65780999999998
Capitol District,38.88981005107052,-77.01033992050968
Capitol Heights,35.85012747563671,-78.58041701524678
Country Club Hills,35.81134871353889,-78.65519234592267
Coley Forest,35.824119682949856,-78.67568017564658
Depot District,35.785510000000045,-78.64266999999995
Drewry Hills,35.823564230557665,-78.63470847367525
Fayetteville Street,35.77622547401798,-78.63932254684069
Five Points Historic Neighborhoods,35.600620,-78.768650
Glenwood-Brooklyn,35.90921043546582,-78.77688477201654
Glenwood South,35.78030036590053,-78.64762740151832
Glenwood Village,35.817890000000034,-78.66548999999998
Hayes Barton,35.80709998831465,-78.65078006996917
Hi-Mount,35.66501726901212,-78.67799161883084
Historic Oakwood,35.86190128478093,-78.72019147042111
Longview Gardens,35.78323528781804,-78.59666194538163
Madonna Acres,35.94002115180383,-78.61395197426162
Maiden Lane,35.78748026987279,-78.663132
Moore Square,35.77806000000004,-78.63493999999997
Mordecai District,35.79427000000004,-78.63138999999995
North Carolina State University,35.78696003000736,-78.66509997778294
Raleigh Country Club,35.77605001832193,-78.59305006592703
Roanoke Park,35.75889678073111,-78.72694534854067
Rochester Heights,35.797662,-78.73464375
South Park,35.76700000000005,-78.63471999999996
State Government District,35.785510000000045,-78.64266999999995
Vanguard Park,35.785510000000045,-78.64266999999995
Victoria Place,35.81019654310922,-78.66125661022208
Warehouse District,35.775812,-78.645366
West Raleigh Historic District,35.787788,-78.662720
Wayland Heights,35.81311620046608,-78.66077499465365
Woodcrest,35.702731139424266,-78.65672125276727
University Park,35.80262000000005,-78.64084999999994
Bent Tree,35.902180000000044,-78.63403999999997
Brentwood Estates,35.82149751031066,-78.59756517143248
Brier Creek,35.911200000000065,-78.78305999999998
Brookhaven,35.86877000000004,-78.68015999999994
Coachmans Trail,35.9362676390818,-78.63981844050464
Crabtree Valley,35.838238306610776,-78.6802436002455
Crossgate,35.9544768889041,-78.68136891408474
Dominion Park,35.91482514177564,-78.74229052652178
Durant Trails,35.91180995099265,-78.60961856505966
Fairfax Hills,35.856044120618435,-78.61934200485281
Falls Church,35.863254591293426,-78.6136210020359
Falls River/Bedford,35.929116,-78.57164025
Hickory Hills,35.68558000007384,-78.6879563225592
Lake Park,35.815240000000074,-78.64592999999996
Lakemont,35.84546443197819,-78.634681143659
Leesville,35.90775000000008,-78.72776999999996
Millbrook,35.850190000000055,-78.61162999999993
New Hope,35.840100000000064,-78.58009999999996
North Hills,35.835930000000076,-78.63981999999999
North Pointe,35.88340681248408,-78.66933307552016
North Ridge,35.87614858578329,-78.6110757085346
North Ridge Country Club,35.87416993940859,-78.62112006838171
Oak Park,35.84457417362289,-78.70210183485666
Pinecrest,35.88600938979323,-78.72714845501764
Quail Hollow,35.84317060275292,-78.623711428664
Quail Meadows,35.852752389443985,-78.61901609581521
Quail Ridge,35.857006185816395,-78.60732638032754
Skycrest,35.81044122541642,-78.5746610227024
Southhall,35.82106002462417,-78.55526873878611
Springdale/Leesville,35.89974,-78.725313
Stonebridge,35.83019822799261,-78.71994732224336
Stonehenge,35.88737428639211,-78.68117007149019
Summerfield,35.83431697503388,-78.57481985734829
Summit Ridge,35.87796363849903,-78.69121445592067
Tadlock Plantation,35.953460000000064,-78.66405999999995
Tealbriar,35.87029885523308,-78.611700370348
Thorpshire,35.89348565019408,-78.6088153739942
Timberlake,35.804869294165115,-78.58924022206
Village on the Green,35.87376000000006,-78.66083999999995
Wakefield Plantation,35.96469085777397,-78.54962216248092
Westlake,35.77375840025272,-78.64628789931189
Wood Valley,35.92151770587523,-78.70692178970323
Asbury,35.790310000000034,-78.73941999999994
Brandywine,35.9531038999921,-78.62735014169762
Laurel Hills,35.83657878507977,-78.70567174469485
Medfield,35.803210041913424,-78.75721503854068
Olde Raleigh,35.92931175618294,-78.63425423072479
Trinity Woods,35.800285162203984,-78.74630909049037
Tysonville,35.82045000000005,-78.70478999999995
Umstead,35.91264000000007,-78.76588999999996
Westover,35.790940000000035,-78.71547999999996
Biltmore Hills,35.75124000000005,-78.62501999999995
Carolina Pines,35.74875000000003,-78.65825999999998
Hedingham,35.802003474558624,-78.5568726320933
Lake Wheeler,35.698857229381474,-78.6976442564429
Parkland,35.75066000000004,-78.64890999999994
Renaissance Park,35.942628115184974,-78.54956439266705
Rhamkatte,35.74777000000006,-78.67390999999998
Skycrest Village,35.81039000000004,-78.58485999999994
Southall,35.82106002462417,-78.55526873878611
Southgate,35.75532171745554,-78.60350657917024
Swift Creek,35.678704858047475,-78.65901469327137
Trailwood,35.76218082489394,-78.69082308350211
Walnut Creek,35.75739414274571,-78.63935020170308
Wilder's Grove,35.798880000000054,-78.56819999999993
